"State, Teritory or Tribal Nation",State code,Total (Billions),Investment,Population,invest_per_head,Winner,Geographical Area,percent_Democratic,percent_republican
ALABAMA,AL,3,3000000000,5108468,587.2602119,Trump,135767,36.56999021,62.03164317
ALASKA,AK,3.7,3700000000,733406,5044.954636,Trump,1723337,42.77195227,52.83314327
AMERICAN SAMOA,AS,0.0686,68600000,45035,1523.259687,No Electoral votes,1505,0,0
ARIZONA,AZ,3.5,3500000000,7431344,470.9780626,Biden,295234,49.36469061,49.05598103
ARKANSAS,AR,2.8,2800000000,3067732,912.726405,Trump,137732,34.77506195,62.39572986
CALIFORNIA,CA,18.4,18400000000,38965193,472.2163188,Biden,423967,63.48435952,34.3202536
COLORADO,CO,3.2,3200000000,5877610,544.4389812,Biden,269601,55.39954191,41.89792384
CONNECTICUT,CT,2.5,2500000000,3617176,691.1469058,Biden,14357,59.26073152,39.18711829
DELEWARE,DE,0.792,792000000,1031890,767.5236702,Biden,6446,58.74300579,39.77487677
DISTRICT OF COLUMBIA,DC,1.1,1100000000,678972,1620.096263,Biden,177,92.14969392,5.397321377
FLORIDA,FL,8.2,8200000000,22610726,362.6597395,Trump,170312,47.86145073,51.21981962
GEORGIA,GA,5,5000000000,11029227,453.3409277,Biden,153910,49.47305578,49.2374739
GUAM,GU,0.1426,142600000,173646,821.2109694,No Electoral votes,1478,0,0
HAWAII,HI,1,1000000000,1435138,696.7971024,Biden,28313,63.73363924,34.26886394
IDAHO,ID,1.2,1200000000,1964726,610.7721891,Trump,216443,33.06944998,63.84344893
ILLINOIS,IL,8.4,8400000000,12549689,669.339296,Biden,149995,57.54163584,40.5534441
INDIANA,IN,3.4,3400000000,6862199,495.4679979,Trump,94326,40.96313806,57.03057157
IOWA,IA,2.4,2400000000,3207004,748.3620226,Trump,145746,44.89171557,53.08932497
KANSAS,KS,1.5,1500000000,2940546,510.109347,Trump,213100,41.5086471,56.14365794
KENTUCKY,KY,3.9,3900000000,4526154,861.6587063,Trump,104656,36.15151481,62.08657187
LOUISIANA,LA,4.3,4300000000,4573749,940.1477869,Trump,135659,39.8514568,58.46088241
MAINE,ME,1.1,1100000000,1395722,788.1225631,Biden,91633,53.09245956,44.02125299
MARYLAND,MD,2.7,2700000000,6180253,436.8753189,Biden,32131,65.36066486,32.15029157
MASSACHUSETTS,MA,3.6,3600000000,7001399,514.1829512,Biden,27336,65.60006301,32.14191103
MICHIGAN,MI,5.2,5200000000,10037261,518.0696208,Biden,250487,50.62081829,47.83729069
MINNESOTA,MN,2.7,2700000000,5737915,470.5541996,Biden,225163,52.39509931,45.28494241
MISSISSIPPI,MS,2.3,2300000000,2939690,782.3954226,Trump,125438,41.05760646,57.60295458
MISSOURI,MO,3.8,3800000000,6196156,613.2834616,Trump,180540,41.40878174,56.79965578
MONTANA,MT,3.3,3300000000,1132812,2913.104734,Trump,380831,40.54936936,56.91846924
NEBRASKA,NE,1.3,1300000000,1978379,657.1036187,Trump,200330,39.16663094,58.22416333
NEVADA,NV,1.7,1700000000,3194176,532.2186379,Biden,286380,50.05678196,47.66624732
NEW HAMPSHIRE,NH,0.7518,751800000,1402054,536.2132985,Biden,24214,52.7083062,45.35570978
NEW JERSEY,NJ,5.1,5100000000,9290841,548.927702,Biden,22591,57.33431484,41.39643478
NEW MEXICO,NM,2.6,2600000000,2114371,1229.680127,Biden,314917,54.28928585,43.49666925
NEW YORK,NY,10.1,10100000000,19571216,516.0639993,Biden,141297,56.38,34.3
NORTH CAROLINA,NC,4.5,4500000000,10835491,415.3019,Trump,139391,48.58619419,49.93435061
NORTH DAKOTA,ND,1.8,1800000000,783926,2296.135094,Trump,183108,31.77745122,65.12026827
NORTHERN MARIANA ISLANDS,MP,0.0833,83300000,49481,1683.474465,No Electoral votes,5117,0,0
OHIO,OH,6.6,6600000000,11785935,559.9895129,Trump,116098,45.23933834,53.2713001
OKLAHOMA,OK,2.9,2900000000,4053824,715.3739284,Trump,181037,32.28617434,65.37327185
OREGON,OR,2.3,2300000000,4233358,543.3039209,Biden,254799,56.45331865,40.36724605
PENNSYLVANIA,PA,8.1,8100000000,12961683,624.9188473,Biden,119280,49.85211135,48.69087049
PUERTO RICO,PR,0.9937,993700000,3205691,309.97997,No Electoral votes,13791,0,0
RHODE ISLAND,RI,1.1,1100000000,1095962,1003.684434,Biden,4001,59.38809132,38.61309456
SOUTH CAROLINA,SC,2.3,2300000000,5373555,428.022045,Trump,82933,43.43008814,55.11029396
SOUTH DAKOTA,SD,1.3,1300000000,919318,1414.091751,Trump,199729,35.60525214,61.76938967
TENNESSEE,TN,3.7,3700000000,7126489,519.1897441,Trump,109153,37.45143427,60.66029417
TEXAS,TX,14.2,14200000000,30503301,465.5233871,Trump,695662,46.47900991,52.0576036
TRIBAL COMMUNITIES,,3,3000000000,9700000,309.2783505,No Electoral votes,,0,0
US VIRGIN ISLANDS,VI,0.1483,148300000,105870,1400.774535,No Electoral votes,1898,0,0
UTAH,UT,1.8,1800000000,3417734,526.6647434,Trump,219882,37.64604858,58.12983903
VERMONT,VT,0.8521,852100000,647464,1316.057727,Biden,24906,66.08641693,30.67376466
VIRGINIA,VA,4.5,4500000000,8715698,516.3097666,Biden,110787,54.10951718,43.99550367
WASHINGTON,WA,4,4000000000,7812880,511.9750975,Biden,184661,57.97030114,38.76697774
WEST VIRGINIA,WV,2,2000000000,1770071,1129.898179,Trump,62756,29.69356927,68.62472963
WISCONSIN,WI,2.8,2800000000,5910955,473.6967207,Biden,169635,49.44953686,48.82243732
WYOMING,WY,2.3,2300000000,584057,3937.971808,Trump,253335,26.55357433,69.93622749
